ID,sample_idx,ax,ay,az,gx,gy,gz
0,0,120,-188,-17036,78,-18,-76
0,1,124,-300,-16988,30,-62,-60
0,2,116,-4,-16980,83,-74,-687
0,3,484,-724,-16892,165,-27,-547
0,4,160,280,-17424,97,-57,-719
0,5,536,352,-16964,97,37,-510
0,6,-188,-368,-16908,161,-263,-546
0,7,432,-532,-16892,-57,-91,-272
0,8,356,-328,-16768,-71,-79,-321
0,9,520,-180,-17076,96,-235,-327
1,0,64,-72,-16992,82,-83,-24
1,1,-64,-1652,-16592,7,-23,-86
1,2,236,192,-16956,61,-181,-323
1,3,128,1632,-17112,170,-122,-692
1,4,104,-80,-17012,423,-173,-292
1,5,92,612,-16736,58,-44,-64
1,6,60,-40,-17268,25,-8,307
1,7,100,-464,-16772,-19,70,527
1,8,52,-348,-17164,50,-265,530
1,9,472,-616,-17092,-137,2,961
2,0,8,-824,-17000,113,-117,886
2,1,-396,-596,-16948,-56,225,1733
2,2,808,-1516,-16976,89,-6,1613
2,3,444,12,-16624,178,-109,1721
2,4,160,-568,-17036,72,-30,1450
2,5,740,-924,-16968,53,4,-829
2,6,-564,36,-17076,142,3,-2745
2,7,820,-1548,-16808,111,-54,-4448
2,8,348,-1136,-16764,130,-37,-1448
2,9,1796,-340,-16976,-23,-67,-646
3,0,64,468,-16928,-106,114,-1464
3,1,-168,1524,-16944,123,3,-427
3,2,-108,724,-16824,123,-45,1158
3,3,-236,200,-16988,-8,-38,2064
3,4,-408,188,-17116,191,-183,1996
3,5,-1148,284,-17000,-121,-36,1949
3,6,-1792,1236,-17124,95,12,1898
3,7,-1568,368,-16808,71,-118,2219
3,8,-696,-248,-16340,193,-95,1431
3,9,-788,-748,-16504,-63,-39,471
4,0,180,-1300,-17560,176,-145,123
4,1,420,-520,-16764,95,-123,-873
4,2,-72,-180,-16884,14,22,-1012
4,3,1456,656,-17000,213,-145,-870
4,4,1340,-540,-17000,248,-144,2316
4,5,372,-472,-16908,61,-100,51
4,6,1140,64,-16900,58,-7,475
4,7,860,-136,-16968,-11,-53,-13
4,8,292,172,-16820,-24,-230,-504
4,9,-48,848,-16944,6,-174,-1076
5,0,-332,-176,-17560,35,10,-611
5,1,-1272,-208,-16936,48,-33,-684
5,2,-1340,-236,-17180,172,-38,-1036
5,3,-392,24,-16980,95,-59,212
5,4,-852,20,-16872,-30,136,-65
5,5,-80,496,-16952,-33,-67,-315
5,6,1100,-268,-16564,-72,-256,584
5,7,1544,-584,-17100,70,-15,455
5,8,2028,-16,-17168,99,-186,-122
5,9,484,-456,-16752,80,-168,-429
6,0,1088,-4,-16896,58,-57,-259
6,1,1708,-516,-16840,21,47,699
6,2,1444,-336,-16700,63,79,-170
6,3,984,-268,-17160,53,-100,-359
6,4,880,-312,-16864,-57,-94,-391
6,5,244,-192,-17024,-81,120,-180
6,6,-232,-76,-17092,26,16,-132
6,7,-1104,140,-16988,-6,0,13
6,8,-1664,-844,-16952,80,-36,926
6,9,-872,-860,-17244,-108,42,-41
7,0,284,-1900,-17200,160,-254,-436
7,1,-376,-772,-17352,285,84,-1128
7,2,56,-816,-17016,134,-46,-2068
7,3,132,116,-16924,-3,-12,-1033
7,4,-228,536,-17320,214,-214,242
7,5,-644,-292,-16384,121,-100,3169
7,6,296,-2096,-16884,-51,23,-956
7,7,484,1024,-16996,98,-98,-644
7,8,52,-332,-16976,208,-86,-49
7,9,284,1316,-16888,-6,-32,185
8,0,556,772,-17176,68,-51,129
8,1,-264,484,-16748,-72,-96,-216
8,2,440,-12,-16628,-106,-213,774
8,3,308,-500,-17052,125,-95,1032
8,4,544,200,-16724,-16,-182,146
8,5,-32,240,-17076,209,-143,833
8,6,116,-384,-17240,280,-21,568
8,7,408,-2352,-16904,132,-98,577
8,8,1300,-2644,-17004,114,-53,-237
8,9,152,-212,-17052,-36,-17,-60
9,0,832,-2444,-17236,35,-88,1269
9,1,-220,-80,-16544,-66,-52,-1695
9,2,-104,-1252,-17212,61,-69,-1633
9,3,408,572,-16920,284,-157,-1311
9,4,652,-548,-17460,60,23,-1629
9,5,76,-236,-16720,75,-195,-2090
9,6,164,-1040,-16512,137,-79,-1566
9,7,844,-20,-16640,99,-12,-1291
9,8,-740,3688,-16984,123,-58,-996
9,9,408,3020,-17092,-150,-76,1549
10,0,-944,2000,-16972,9,-112,3364
10,1,-616,576,-16904,194,70,3237
10,2,-600,-824,-16568,296,-209,3206
10,3,-12,-1212,-16604,108,45,2366
10,4,1248,-2712,-17064,180,-29,814
10,5,2404,964,-17096,135,-239,136
10,6,1760,252,-16808,297,-49,-50
10,7,2168,-724,-16288,203,-97,179
10,8,140,-728,-18108,98,-249,-183
10,9,308,-508,-17304,336,-166,-773
11,0,-1192,-480,-17272,123,-154,-1521
11,1,-900,-120,-17276,235,0,-366
11,2,108,-128,-16988,-228,412,-209
11,3,-32,-116,-17212,-101,-55,1371
11,4,-604,-604,-16964,225,234,-52
11,5,-892,272,-17332,227,97,184
11,6,220,276,-16572,265,-240,528
11,7,764,256,-16560,-53,-62,-282
11,8,1368,348,-16956,131,-46,651
11,9,1776,-672,-16996,142,-120,143
12,0,788,376,-17120,37,-134,817
12,1,12,1696,-16672,31,-147,1495
12,2,552,-212,-16972,33,-106,706
12,3,88,-468,-16744,-15,128,1484
12,4,1984,-328,-16680,100,-83,-362
12,5,1988,-556,-16780,137,-122,-1172
12,6,-752,-1496,-16648,-39,112,-1495
12,7,192,-2480,-16300,163,-212,-1885
12,8,-976,-1116,-16776,-60,49,-3513
12,9,-868,-824,-17040,42,-78,-3326
13,0,-1276,792,-17492,23,-56,-2970
13,1,-720,596,-16512,142,-3,-2781
13,2,60,628,-16816,-112,-114,-2070
13,3,384,1080,-18048,132,96,-2302
13,4,-704,1172,-17056,162,-36,-356
13,5,1164,736,-17424,102,-323,1096
13,6,1600,972,-16608,93,-41,2347
13,7,688,268,-16860,-147,-108,2884
13,8,248,-920,-16788,38,-64,909
13,9,-148,-3424,-16988,34,-67,901
14,0,192,-2368,-16924,138,-114,-1035
14,1,1116,-1956,-16832,-82,-76,-2070
14,2,1392,-596,-17428,182,-157,-3979
14,3,964,1136,-17012,-48,-195,-5039
14,4,36,2932,-16460,75,-201,-711
14,5,-968,3680,-17528,270,-322,2389
14,6,-496,1068,-17264,-6,61,3710
14,7,-636,116,-17280,184,1,2010
14,8,-1656,-520,-17292,11,9,-5
14,9,-1044,-324,-16768,170,-43,2475
15,0,68,-608,-16220,117,-253,2610
15,1,-740,-1528,-16916,-73,111,2528
15,2,-672,-1944,-16432,16,-195,1641
15,3,1164,-1220,-17436,-43,-100,2494
15,4,664,-2052,-16504,38,63,731
15,5,808,144,-17476,104,-60,-391
15,6,760,-540,-17016,47,-148,-906
15,7,964,44,-16972,26,-128,-1474
15,8,852,804,-17680,192,-237,-1264
15,9,56,608,-16472,241,72,-3213
16,0,-960,928,-17132,250,-53,959
16,1,-148,-808,-17072,146,-12,1801
16,2,-3412,-1244,-17016,33,-43,-1088
16,3,-832,200,-16976,94,3,-1855
16,4,76,1080,-17244,157,0,-2024
16,5,-128,1572,-16696,62,-105,342
16,6,516,1828,-17008,193,-96,1496
16,7,1624,752,-17076,-100,-152,3507
16,8,2120,116,-16816,66,56,3203
16,9,1448,-1060,-16812,261,-228,2006
17,0,688,-1580,-16764,71,-68,533
17,1,100,-1560,-17408,164,-90,-90
17,2,-364,-1612,-16308,169,-17,-1035
17,3,-488,-3012,-17488,47,-46,-1803
17,4,-1060,-284,-16764,-45,-69,-2104
17,5,-1252,1440,-17392,116,50,-1426
17,6,-468,-320,-17124,179,-233,-1533
17,7,-932,1244,-17548,202,-125,-819
17,8,-1944,1504,-17056,173,-88,-505
17,9,-220,1312,-17036,246,-276,2876
18,0,1328,1964,-16464,213,115,2637
18,1,616,-156,-17084,171,300,3591
18,2,-220,-2540,-17252,-69,-145,1518
18,3,480,-2020,-17088,18,30,-2310
18,4,1588,-2928,-17164,-93,-20,-653
18,5,1096,-1688,-17052,93,-21,-1731
18,6,544,-1752,-17784,145,-275,-1512
18,7,-728,1480,-17036,8,70,-2967
18,8,-1280,408,-17028,-25,-119,-2869
18,9,-888,644,-17000,106,98,-905
19,0,-272,724,-17132,96,-98,-392
19,1,76,2332,-16984,102,-99,-467
19,2,-452,1980,-17128,0,-13,-324
19,3,-500,2236,-16432,68,-124,2197
19,4,-380,972,-17292,-95,103,2486
19,5,16,348,-17548,142,-29,2907
19,6,-732,-40,-16852,-67,-75,1899
19,7,-568,-1576,-17468,185,37,1695
19,8,88,-744,-16492,-139,30,1777
19,9,392,-1408,-16688,135,-115,871
20,0,100,-188,-17056,-88,-49,-84
20,1,424,-1216,-16724,44,-91,-770
20,2,64,-520,-17628,-81,132,-2935
20,3,-72,1720,-17784,95,-59,-3010
20,4,412,-896,-17288,239,-153,-2077
20,5,-432,-520,-16800,153,-193,-1574
20,6,196,-956,-17076,274,-31,-135
20,7,24,-288,-17092,228,-47,-711
20,8,-304,1060,-16808,71,-25,-484
20,9,-1372,1696,-16988,102,-159,870
21,0,-972,3760,-16316,-70,-45,2087
21,1,-508,436,-16660,125,-119,4179
21,2,336,-528,-17092,9,-40,1632
21,3,624,-1148,-16968,209,-166,1916
